,map_simple_use,premise_age_bucketed,height_bucket,total_count,global_average_floorcount
219,Mixed Use,"1919-1944,1945-1959,Post 1999",10-11m,0,
220,Mixed Use,"1919-1944,1945-1959,Post 1999",11-12m,0,
221,Mixed Use,"1919-1944,1945-1959,Post 1999",12-13m,0,
222,Mixed Use,"1919-1944,1945-1959,Post 1999",13-14m,0,
223,Mixed Use,"1919-1944,1945-1959,Post 1999",14-15m,0,
224,Mixed Use,"1919-1944,1945-1959,Post 1999",15-16m,0,
225,Mixed Use,"1919-1944,1945-1959,Post 1999",16-17m,0,
226,Mixed Use,"1919-1944,1945-1959,Post 1999",17-18m,0,
227,Mixed Use,"1919-1944,1945-1959,Post 1999",18-19m,0,
228,Mixed Use,"1919-1944,1945-1959,Post 1999",19-20m,0,
229,Mixed Use,"1919-1944,1945-1959,Post 1999",20-22m,0,
230,Mixed Use,"1919-1944,1945-1959,Post 1999",22-24m,0,
231,Mixed Use,"1919-1944,1945-1959,Post 1999",24-26m,0,
232,Mixed Use,"1919-1944,1945-1959,Post 1999",26-28m,0,
233,Mixed Use,"1919-1944,1945-1959,Post 1999",28-30m,0,
234,Mixed Use,"1919-1944,1945-1959,Post 1999",30-35m,0,
235,Mixed Use,"1919-1944,1945-1959,Post 1999",35-40m,0,
236,Mixed Use,"1919-1944,1945-1959,Post 1999",40-45m,0,
237,Mixed Use,"1919-1944,1945-1959,Post 1999",45-50m,0,
238,Mixed Use,"1919-1944,1945-1959,Post 1999",50-55m,0,
239,Mixed Use,"1919-1944,1945-1959,Post 1999",55-60m,0,
240,Mixed Use,"1919-1944,1945-1959,Post 1999",60-70m,0,
241,Mixed Use,"1919-1944,1945-1959,Post 1999",70-80m,0,
242,Mixed Use,"1919-1944,1945-1959,Post 1999",80-90m,0,
243,Mixed Use,"1919-1944,1945-1959,Post 1999",90-100m,0,
244,Mixed Use,"1919-1944,1945-1959,Post 1999",100-200m,0,
245,Mixed Use,"1919-1944,1945-1959,Pre 1919",0-2m,0,
246,Mixed Use,"1919-1944,1945-1959,Pre 1919",2-3m,0,
247,Mixed Use,"1919-1944,1945-1959,Pre 1919",3-4m,0,
248,Mixed Use,"1919-1944,1945-1959,Pre 1919",4-5m,0,
249,Mixed Use,"1919-1944,1945-1959,Pre 1919",5-6m,0,
250,Mixed Use,"1919-1944,1945-1959,Pre 1919",6-7m,0,
251,Mixed Use,"1919-1944,1945-1959,Pre 1919",7-8m,2,2.0
252,Mixed Use,"1919-1944,1945-1959,Pre 1919",8-9m,2,2.5
253,Mixed Use,"1919-1944,1945-1959,Pre 1919",9-10m,6,2.0
254,Mixed Use,"1919-1944,1945-1959,Pre 1919",10-11m,2,2.5
255,Mixed Use,"1919-1944,1945-1959,Pre 1919",11-12m,0,
256,Mixed Use,"1919-1944,1945-1959,Pre 1919",12-13m,2,3.0
257,Mixed Use,"1919-1944,1945-1959,Pre 1919",13-14m,0,
258,Mixed Use,"1919-1944,1945-1959,Pre 1919",14-15m,1,3.0
259,Mixed Use,"1919-1944,1945-1959,Pre 1919",15-16m,0,
260,Mixed Use,"1919-1944,1945-1959,Pre 1919",16-17m,0,
261,Mixed Use,"1919-1944,1945-1959,Pre 1919",17-18m,0,
262,Mixed Use,"1919-1944,1945-1959,Pre 1919",18-19m,0,
263,Mixed Use,"1919-1944,1945-1959,Pre 1919",19-20m,0,
264,Mixed Use,"1919-1944,1945-1959,Pre 1919",20-22m,0,
265,Mixed Use,"1919-1944,1945-1959,Pre 1919",22-24m,0,
266,Mixed Use,"1919-1944,1945-1959,Pre 1919",24-26m,0,
267,Mixed Use,"1919-1944,1945-1959,Pre 1919",26-28m,0,
268,Mixed Use,"1919-1944,1945-1959,Pre 1919",28-30m,0,
269,Mixed Use,"1919-1944,1945-1959,Pre 1919",30-35m,0,
270,Mixed Use,"1919-1944,1945-1959,Pre 1919",35-40m,0,
271,Mixed Use,"1919-1944,1945-1959,Pre 1919",40-45m,0,
272,Mixed Use,"1919-1944,1945-1959,Pre 1919",45-50m,0,
273,Mixed Use,"1919-1944,1945-1959,Pre 1919",50-55m,0,
274,Mixed Use,"1919-1944,1945-1959,Pre 1919",55-60m,0,
275,Mixed Use,"1919-1944,1945-1959,Pre 1919",60-70m,0,
276,Mixed Use,"1919-1944,1945-1959,Pre 1919",70-80m,0,
277,Mixed Use,"1919-1944,1945-1959,Pre 1919",80-90m,0,
278,Mixed Use,"1919-1944,1945-1959,Pre 1919",90-100m,0,
279,Mixed Use,"1919-1944,1945-1959,Pre 1919",100-200m,0,
280,Mixed Use,"1919-1944,1960-1979",0-2m,0,
281,Mixed Use,"1919-1944,1960-1979",2-3m,0,
282,Mixed Use,"1919-1944,1960-1979",3-4m,0,
283,Mixed Use,"1919-1944,1960-1979",4-5m,0,
284,Mixed Use,"1919-1944,1960-1979",5-6m,1,2.0
285,Mixed Use,"1919-1944,1960-1979",6-7m,0,
286,Mixed Use,"1919-1944,1960-1979",7-8m,8,2.0
287,Mixed Use,"1919-1944,1960-1979",8-9m,15,2.0
288,Mixed Use,"1919-1944,1960-1979",9-10m,25,2.08
289,Mixed Use,"1919-1944,1960-1979",10-11m,15,2.2666666666666666
